,state,fips,cases,deaths,employed-sugar-intake-daily,Winning Party,Democrats,Republicans
115,California,6,83981,3422,22.9,Democrats,1,0
116,California,6,86125,3514,22.9,Democrats,1,0
117,California,6,88488,3624,22.9,Democrats,1,0
118,California,6,90801,3690,22.9,Democrats,1,0
119,California,6,92815,3768,22.9,Democrats,1,0
120,California,6,94743,3790,22.9,Democrats,1,0
121,California,6,97017,3808,22.9,Democrats,1,0
122,California,6,99924,3859,22.9,Democrats,1,0
123,California,6,101873,3961,22.9,Democrats,1,0
124,California,6,104071,4042,22.9,Democrats,1,0
125,California,6,107043,4144,22.9,Democrats,1,0
126,California,6,110100,4214,22.9,Democrats,1,0
127,California,6,113114,4242,22.9,Democrats,1,0
128,California,6,115643,4287,22.9,Democrats,1,0
129,California,6,118081,4360,22.9,Democrats,1,0
130,California,6,120407,4422,22.9,Democrats,1,0
131,California,6,122917,4484,22.9,Democrats,1,0
132,California,6,126510,4550,22.9,Democrats,1,0
133,California,6,129147,4626,22.9,Democrats,1,0
134,California,6,131997,4653,22.9,Democrats,1,0
135,California,6,134287,4679,22.9,Democrats,1,0
136,California,6,137245,4775,22.9,Democrats,1,0
137,California,6,140139,4869,22.9,Democrats,1,0
138,California,6,143709,4941,22.9,Democrats,1,0
139,California,6,147285,4986,22.9,Democrats,1,0
140,California,6,150434,5059,22.9,Democrats,1,0
141,California,6,152953,5089,22.9,Democrats,1,0
142,California,6,155662,5120,22.9,Democrats,1,0
143,California,6,159131,5202,22.9,Democrats,1,0
144,California,6,163381,5283,22.9,Democrats,1,0
145,California,6,167135,5359,22.9,Democrats,1,0
146,California,6,170843,5425,22.9,Democrats,1,0
147,California,6,174854,5495,22.9,Democrats,1,0
148,California,6,178807,5517,22.9,Democrats,1,0
149,California,6,184620,5561,22.9,Democrats,1,0
150,California,6,191039,5637,22.9,Democrats,1,0
151,California,6,195889,5728,22.9,Democrats,1,0
152,California,6,201413,5810,22.9,Democrats,1,0
153,California,6,207027,5872,22.9,Democrats,1,0
154,California,6,211453,5902,22.9,Democrats,1,0
155,California,6,216955,5937,22.9,Democrats,1,0
156,California,6,223995,5979,22.9,Democrats,1,0
157,California,6,232153,6083,22.9,Democrats,1,0
158,California,6,239764,6168,22.9,Democrats,1,0
159,California,6,248198,6263,22.9,Democrats,1,0
160,California,6,256298,6315,22.9,Democrats,1,0
161,California,6,265176,6329,22.9,Democrats,1,0
162,California,6,271587,6369,22.9,Democrats,1,0
163,California,6,277869,6452,22.9,Democrats,1,0
164,California,6,287766,6563,22.9,Democrats,1,0
165,California,6,296304,6708,22.9,Democrats,1,0
166,California,6,303516,6825,22.9,Democrats,1,0
167,California,6,311505,6936,22.9,Democrats,1,0
168,California,6,320030,7012,22.9,Democrats,1,0
169,California,6,327676,7042,22.9,Democrats,1,0
170,California,6,336206,7086,22.9,Democrats,1,0
171,California,6,346593,7227,22.9,Democrats,1,0
172,California,6,355497,7368,22.9,Democrats,1,0
173,California,6,364761,7490,22.9,Democrats,1,0
174,California,6,374922,7607,22.9,Democrats,1,0
175,California,6,383194,7697,22.9,Democrats,1,0
176,California,6,391460,7710,22.9,Democrats,1,0
177,California,6,400195,7764,22.9,Democrats,1,0
178,California,6,410366,7883,22.9,Democrats,1,0
179,California,6,422528,8038,22.9,Democrats,1,0
180,California,6,433175,8190,22.9,Democrats,1,0
181,California,6,443096,8325,22.9,Democrats,1,0
182,California,6,453327,8428,22.9,Democrats,1,0
183,California,6,459338,8451,22.9,Democrats,1,0
184,California,6,467103,8544,22.9,Democrats,1,0
185,California,6,474951,8716,22.9,Democrats,1,0
186,California,6,486039,8884,22.9,Democrats,1,0
187,California,6,494269,9009,22.9,Democrats,1,0
188,California,6,502273,9222,22.9,Democrats,1,0
189,California,6,509507,9365,22.9,Democrats,1,0
190,California,6,515937,9399,22.9,Democrats,1,0
191,California,6,522235,9500,22.9,Democrats,1,0
192,California,6,527258,9696,22.9,Democrats,1,0
193,California,6,532776,9866,22.9,Democrats,1,0
194,California,6,541013,10014,22.9,Democrats,1,0
195,California,6,548142,10197,22.9,Democrats,1,0
196,California,6,556158,10299,22.9,Democrats,1,0
197,California,6,563244,10365,22.9,Democrats,1,0
198,California,6,574267,10460,22.9,Democrats,1,0
199,California,6,586078,10654,22.9,Democrats,1,0
200,California,6,595097,10808,22.9,Democrats,1,0
201,California,6,603212,10995,22.9,Democrats,1,0
202,California,6,613243,11146,22.9,Democrats,1,0
203,California,6,621981,11229,22.9,Democrats,1,0
204,California,6,628508,11245,22.9,Democrats,1,0
205,California,6,634991,11334,22.9,Democrats,1,0
206,California,6,640499,11523,22.9,Democrats,1,0
207,California,6,646742,11686,22.9,Democrats,1,0
208,California,6,653401,11801,22.9,Democrats,1,0
209,California,6,659991,11984,22.9,Democrats,1,0
210,California,6,665325,12137,22.9,Democrats,1,0
211,California,6,669944,12152,22.9,Democrats,1,0
212,California,6,676236,12250,22.9,Democrats,1,0
213,California,6,682320,12409,22.9,Democrats,1,0
214,California,6,687612,12547,22.9,Democrats,1,0
215,California,6,692964,12696,22.9,Democrats,1,0
216,California,6,698391,12836,22.9,Democrats,1,0
217,California,6,702500,12906,22.9,Democrats,1,0
218,California,6,706589,12939,22.9,Democrats,1,0
219,California,6,712543,13020,22.9,Democrats,1,0
220,California,6,716630,13149,22.9,Democrats,1,0
221,California,6,722037,13330,22.9,Democrats,1,0
222,California,6,727403,13497,22.9,Democrats,1,0
223,California,6,732693,13644,22.9,Democrats,1,0
224,California,6,737074,13708,22.9,Democrats,1,0
225,California,6,740233,13730,22.9,Democrats,1,0
226,California,6,742689,13763,22.9,Democrats,1,0
227,California,6,746114,13843,22.9,Democrats,1,0
228,California,6,749197,13990,22.9,Democrats,1,0
229,California,6,753019,14094,22.9,Democrats,1,0
230,California,6,757126,14265,22.9,Democrats,1,0
231,California,6,760582,14333,22.9,Democrats,1,0
232,California,6,763390,14386,22.9,Democrats,1,0
233,California,6,767063,14458,22.9,Democrats,1,0
234,California,6,769918,14606,22.9,Democrats,1,0
235,California,6,773319,14716,22.9,Democrats,1,0
236,California,6,776945,14807,22.9,Democrats,1,0
237,California,6,781437,14912,22.9,Democrats,1,0
238,California,6,785077,15023,22.9,Democrats,1,0
239,California,6,788078,15018,22.9,Democrats,1,0
240,California,6,792220,15069,22.9,Democrats,1,0
241,California,6,795080,15209,22.9,Democrats,1,0
242,California,6,798351,15313,22.9,Democrats,1,0
243,California,6,801674,15389,22.9,Democrats,1,0
244,California,6,805736,15533,22.9,Democrats,1,0
245,California,6,809215,15588,22.9,Democrats,1,0
246,California,6,811699,15608,22.9,Democrats,1,0
247,California,6,814797,15641,22.9,Democrats,1,0
248,California,6,817940,15791,22.9,Democrats,1,0
249,California,6,821126,15898,22.9,Democrats,1,0
250,California,6,824307,15989,22.9,Democrats,1,0
251,California,6,828365,16074,22.9,Democrats,1,0
252,California,6,831495,16122,22.9,Democrats,1,0
253,California,6,834636,16150,22.9,Democrats,1,0
254,California,6,837722,16179,22.9,Democrats,1,0
255,California,6,840324,16251,22.9,Democrats,1,0
256,California,6,843734,16358,22.9,Democrats,1,0
257,California,6,847385,16425,22.9,Democrats,1,0
258,California,6,851229,16502,22.9,Democrats,1,0
259,California,6,854303,16568,22.9,Democrats,1,0
260,California,6,857077,16581,22.9,Democrats,1,0
261,California,6,859960,16594,22.9,Democrats,1,0
262,California,6,863614,16650,22.9,Democrats,1,0
263,California,6,867094,16752,22.9,Democrats,1,0
264,California,6,870380,16839,22.9,Democrats,1,0
265,California,6,874102,16901,22.9,Democrats,1,0
266,California,6,876258,16940,22.9,Democrats,1,0
267,California,6,878395,16979,22.9,Democrats,1,0
268,California,6,882666,16987,22.9,Democrats,1,0
269,California,6,887094,17067,22.9,Democrats,1,0
270,California,6,890154,17189,22.9,Democrats,1,0
271,California,6,896427,17266,22.9,Democrats,1,0
272,California,6,902328,17316,22.9,Democrats,1,0
273,California,6,906645,17345,22.9,Democrats,1,0
274,California,6,909345,17358,22.9,Democrats,1,0
275,California,6,913707,17398,22.9,Democrats,1,0
276,California,6,918635,17478,22.9,Democrats,1,0
277,California,6,922685,17541,22.9,Democrats,1,0
278,California,6,926910,17567,22.9,Democrats,1,0
